,Title,Artist,Top Genre,Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity,Genre
26521,The Virginia Company (Reprise),Toshihiro Tachibana;Shigeo Matsuzawa;Masahiro Anzai;Music Creation,disney,0.162,0.407,-17.251,0.158,0.697,35506,0.876,0.0365,21,Children's/Disney
26522,If I Ever Knew You,Jon Sarta,disney,0.0299,0.679,-26.44,0.112,0.171,306752,0.991,0.0462,22,Children's/Disney
26523,Scales and Arpeggios,Jon Sarta,disney,0.0555,0.839,-24.751,0.101,0.983,89685,0.995,0.092,22,Children's/Disney
26524,Sleep,Cameron's Bedtime Classics,disney,0.00241,0.655,-21.311,0.106,0.451,238350,0.995,0.126,21,Children's/Disney
26525,All the Pretty Horses,Jon Sarta,disney,0.0845,0.66,-17.024,0.0988,0.183,175189,0.992,0.0478,21,Children's/Disney
26526,"The City - From ""A Bug's Life""/Score",Randy Newman,disney,0.151,0.261,-16.686,0.122,0.252,155000,0.78,0.0379,22,Children's/Disney
26527,Última Chance,André Leono,disney,0.56,0.837,-6.238,0.111,0.603,231466,0.419,0.03,22,Children's/Disney
26528,Come Un Rullo DiI Tamburi (Reprise),Coro - Pocahontas,disney,0.034,0.165,-22.32,0.329,0.202,45853,0.923,0.0423,21,Children's/Disney
26529,Popatrz na niebo,Kuba Jurzyk,disney,0.32,0.356,-11.793,0.111,0.356,249537,0.731,0.0407,22,Children's/Disney
26530,Savages (Part I),Haruki Sayama;Ryoichi Fukuzawa;Syuhei Tsutsui;Masahiro Anzai;Music Creation,disney,0.422,0.475,-15.096,0.107,0.668,103466,0.902,0.0759,21,Children's/Disney
26531,Magic Journeys,Disney Studio Chorus,disney,0.349,0.417,-13.115,0.0841,0.0681,213293,0.827,0.0324,22,Children's/Disney
26532,Preparados,Rogério Samora;Jim Cummings;Cucha Cavalheiro;Adriano Luz,disney,0.542,0.606,-11.154,0.154,0.342,218240,0.125,0.0892,22,Children's/Disney
26533,To - Radio Edit,Grzegorz Markowski;Ryszard Sygitowicz,disney,0.429,0.529,-6.766,0.103,0.191,190106,0.0575,0.0281,22,Children's/Disney
26534,"Honor To Us All (from ""Mulan"") - Upright Piano Lullaby",Henry Camelot,disney,0.172,0.462,-24.292,0.0823,0.426,173090,0.992,0.0342,22,Children's/Disney
26535,Gaston - Brazilian Version,Mauricio Luz;Pedro Lopes,disney,0.332,0.436,-15.096,0.136,0.701,190400,0.811,0.0663,22,Children's/Disney
26538,Virginia Company - Reprise,Sigmar Solbach;Karl Schulz;Stefan Fredrich;Chorus - Pocahontas,disney,0.305,0.555,-13.117,0.192,0.839,35626,0.911,0.0305,21,Children's/Disney
26539,O Nowym Orleanie (Final),Karolina Trebacz,disney,0.807,0.587,-3.506,0.0742,0.672,96586,0.499,0.0452,21,Children's/Disney
26540,"Poor Unfortunate Souls (from ""The Little Mermaid"") - From ""The Little Mermaid"" / Soundtrack Version",Pat Carroll;Disney,disney,0.384,0.425,-8.483,0.336,0.419,290440,0.746,0.0871,22,Children's/Disney
26541,Kunhan kruunun saan kuninkaan,Luca Vieri;Lari Halme;Mirella Roininen,disney,0.775,0.677,-5.869,0.0929,0.675,202986,0.165,0.141,22,Children's/Disney
26542,Family Allies,Germaine Franco,disney,0.203,0.578,-19.606,0.125,0.0775,75160,0.745,0.0362,21,Children's/Disney
26543,"Disney's Halloween Parade ""Let's Go, Villains!"" - Edited Version",Tokyo Disneyland,disney,0.884,0.506,-5.708,0.192,0.668,366321,0.24,0.126,22,Children's/Disney
26544,Tío Bruno,Germaine Franco,disney,0.0335,0.0649,-19.322,0.127,0.0355,143133,0.967,0.0409,21,Children's/Disney
26545,La tanière du rat,Germaine Franco,disney,0.202,0.502,-19.155,0.077,0.305,81466,0.835,0.0578,21,Children's/Disney
26546,The Ultimate Vision,Germaine Franco,disney,0.27,0.183,-13.949,0.158,0.0379,130639,0.879,0.0363,21,Children's/Disney
26547,Nieustępliwa Mirabel,Germaine Franco,disney,0.0254,0.172,-20.089,0.161,0.0323,95946,0.781,0.0342,21,Children's/Disney
26548,Isabela La Perfecta,Germaine Franco,disney,0.0608,0.37,-26.843,0.116,0.228,80693,0.646,0.0336,21,Children's/Disney
26549,Morgonrapport,Anders Aldgård;Daniel Andersson,disney,0.583,0.483,-8.789,0.0911,0.822,96506,0.571,0.463,21,Children's/Disney
26550,S.T.A.Y. (From Interstellar),Piano Sunday,disney,0.133,0.157,-19.689,0.0769,0.157,279813,0.988,0.036,29,Children's/Disney
26551,Mbube,Lebo M.,disney,0.603,0.692,-6.952,0.137,0.643,116093,0.599,0.127,39,Children's/Disney
26552,All You Need,Cast - Sofia the First;Sofia;Vivian,disney,0.635,0.689,-4.244,0.127,0.332,148040,0.58,0.0299,38,Children's/Disney
26554,Can´t Help Falling In Love - Piano Version,Magic Piano Covers;Music Feel,disney,0.0737,0.169,-20.876,0.134,0.147,152000,0.966,0.0409,43,Children's/Disney
26555,Rise And Shine,Cast - Sofia the First;Sofia,disney,0.784,0.678,-4.285,0.0867,0.247,172013,0.114,0.0395,37,Children's/Disney
26556,Noble Maiden Fair,Jartisto,disney,0.0464,0.625,-20.287,0.147,0.455,163723,0.991,0.115,21,Children's/Disney
26557,Antonio's Voice,Germaine Franco,disney,0.321,0.424,-11.358,0.106,0.213,134786,0.501,0.0613,52,Children's/Disney
26558,Surface Pressure,Little Piano Player,disney,0.0267,0.398,-28.011,0.0988,0.142,133853,0.994,0.0444,21,Children's/Disney
26559,Santa Fe,Jon Sarta,disney,0.0677,0.699,-19.757,0.102,0.148,298325,0.994,0.0394,21,Children's/Disney
26560,"Lead The Way (From Disney's ""Raya & The Last Dragon"")",Poppie Swag,disney,0.0335,0.382,-25.959,0.116,0.161,127089,0.993,0.0558,21,Children's/Disney
26561,Être libre,Alan Menken;Disney,disney,0.0715,0.225,-22.815,0.143,0.0546,99493,0.951,0.036,22,Children's/Disney
26562,I'm Wishing,Jon Sarta,disney,0.0698,0.607,-22.982,0.107,0.137,213209,0.983,0.0441,21,Children's/Disney
26563,Romeo and Juliet,Sonic Wine,disney,0.167,0.45,-13.203,0.0859,0.312,248481,0.994,0.0325,22,Children's/Disney
26564,La La Land,Cameron's Bedtime Classics,disney,0.0353,0.574,-18.692,0.117,0.185,247650,0.993,0.195,21,Children's/Disney
26565,En helt ny verden,Lasse Vermeli;Maria Haukaas Mittet,disney,0.381,0.347,-7.713,0.163,0.172,175593,0.428,0.0328,21,Children's/Disney
26566,"The Village in May (from ""My Neighbor Totoro"")",David Healer,disney,0.123,0.644,-20.926,0.0869,0.54,104055,0.99,0.0605,21,Children's/Disney
26567,The Lord Is Good to Me,Jon Sarta,disney,0.0249,0.685,-25.932,0.0854,0.359,133166,0.995,0.0439,21,Children's/Disney
26568,Wo noch niemand war - Instrumental,Kristen Anderson-Lopez;Robert Lopez,disney,0.487,0.335,-10.481,0.0949,0.118,196495,0.864,0.0461,21,Children's/Disney
26569,Hakuna Matata - Spanish-Castilian version,Marc Pociello;Oscar Mas;Sergio Zamora;Miguel Ángel Jenner,disney,0.478,0.422,-12.796,0.133,0.663,213053,0.626,0.229,44,Children's/Disney
26571,One Jump Ahead - Remastered 2022,Brad Kane;Disney,disney,0.337,0.559,-16.362,0.751,0.655,143093,0.436,0.153,42,Children's/Disney
26572,I've Got No Strings,Dickie Jones,disney,0.289,0.51,-16.077,0.0893,0.874,142960,0.698,0.0677,21,Children's/Disney
26573,Kaczka dziwaczka,Ewa Konstancja Bułhak,disney,0.43,0.672,-12.152,0.224,0.843,254026,0.458,0.0326,21,Children's/Disney
26574,Imagination Station,Cameron's Bedtime Classics,disney,0.0456,0.589,-19.654,0.11,0.395,241142,0.995,0.0727,21,Children's/Disney
26575,Feed Me (Git It) - 1982 Original Cast,Alan Menken;Howard Ashman;Lee Wilkof;Ron Taylor,disney,0.679,0.569,-12.063,0.648,0.538,297000,0.511,0.534,22,Children's/Disney
26576,"Baby Mine (from ""Dumbo"")",The Sleep Diaries,disney,0.0123,0.412,-25.633,0.123,0.107,206408,0.988,0.0468,21,Children's/Disney
26577,Viidakossa nukkuu Jellona,Antti Paakkonen;Pasi Ruohonen,disney,0.363,0.691,-14.357,0.107,0.926,84720,0.776,0.138,21,Children's/Disney
26578,"Life, Life",Roger Bart,disney,0.603,0.358,-7.503,0.0921,0.325,198493,0.581,0.0932,22,Children's/Disney
26579,Familienzusammenhalt,Germaine Franco,disney,0.248,0.576,-19.584,0.12,0.0383,75160,0.778,0.0383,20,Children's/Disney
26580,Vindens Farver,Monique,disney,0.229,0.552,-18.78,0.126,0.159,257933,0.368,0.0293,21,Children's/Disney
26581,Mind Over Matter,Billboard Baby Lullabies,disney,0.191,0.54,-15.472,0.0997,0.25,66453,0.993,0.0664,21,Children's/Disney
26582,Hakuna Matata,Nils Jørgen Kaalstad;Anders Bye;Oskar Fjeldstad-Bergheim;Espen Grjotheim,disney,0.662,0.593,-9.462,0.264,0.647,251520,0.484,0.371,20,Children's/Disney
26583,Prins Ali (Reprise),Pierre Bokma,disney,0.41,0.525,-13.048,0.257,0.724,71760,0.77,0.0545,21,Children's/Disney
26584,Along Came Bialy,Nathan Lane;Madeleine Doherty;Jennifer Smith;Kathy Fitzgerald;Matthew Broderick;Brad Oscar;Cady Huffman;Gary Beach;Roger Bart;The Producers Ensemble,disney,0.467,0.471,-10.66,0.309,0.537,416760,0.82,0.211,22,Children's/Disney
26585,Up Down and Touch the Ground,Billboard Baby Lullabies,disney,0.371,0.43,-19.053,0.108,0.745,80615,0.978,0.0489,21,Children's/Disney
26586,Cat's Love Theme,George Bruns,disney,0.0239,0.231,-27.821,0.18,0.0605,153800,0.979,0.0398,21,Children's/Disney
26587,"Wenn Ein Stern In Finst'rer Nacht - aus ""Pinocchio""/Deutscher Film-Soundtrack",Chorus of Pinocchio,disney,0.256,0.159,-13.429,0.324,0.0519,194893,0.975,0.0344,21,Children's/Disney
26588,Die perfekte Isabela,Germaine Franco,disney,0.0635,0.451,-26.904,0.136,0.259,80693,0.629,0.0331,20,Children's/Disney
26589,Kingfish - 2002 Remaster,Randy Newman,disney,0.411,0.393,-8.921,0.0824,0.348,164693,0.745,0.0293,22,Children's/Disney
26590,Jagd nach der Vergangenheit,Germaine Franco,disney,0.473,0.286,-10.579,0.198,0.0615,146400,0.341,0.0871,21,Children's/Disney
26591,Pytanie na śniadanie,Germaine Franco,disney,0.108,0.499,-23.37,0.1,0.121,85866,0.887,0.0554,20,Children's/Disney
26592,Luk øjnene op,Germaine Franco,disney,0.108,0.236,-16.376,0.127,0.0631,196213,0.861,0.0369,21,Children's/Disney
26593,Las Hermanas Pelean,Germaine Franco,disney,0.124,0.427,-16.689,0.126,0.221,77933,0.846,0.0376,20,Children's/Disney
26594,The House Knows,Germaine Franco,disney,0.213,0.243,-14.571,0.0864,0.055,88640,0.939,0.0379,20,Children's/Disney
26596,Wieża Bruna,Germaine Franco,disney,0.058,0.165,-28.367,0.143,0.0343,52466,0.793,0.0474,20,Children's/Disney
26597,The Carnival of the Animals: Wild Jackasses (feat. Nina Flyer & Chie Nagatani),David Ogden Stiers;Chie Nagatani;Nina Flyer,disney,0.134,0.562,-18.582,0.0852,0.84,68572,0.951,0.0824,21,Children's/Disney
26598,Möt familjen,Germaine Franco,disney,0.316,0.808,-14.883,0.0797,0.315,128345,0.434,0.0847,20,Children's/Disney
26601,¡Sueltalo!,Gisela,disney,0.422,0.67,-6.953,0.141,0.359,224040,0.835,0.0324,42,Children's/Disney
26602,あなたを失いたくない,SHIKI THEATRE COMPANY,disney,0.488,0.315,-7.108,0.118,0.319,188506,0.485,0.0444,20,Children's/Disney
26603,"Look Through my Eyes (from""Brother Bear"")",The Sleep Diaries,disney,0.0435,0.312,-24.635,0.108,0.197,132334,0.953,0.044,20,Children's/Disney
26604,Oh Miguel!,The Harp and the Piano,disney,0.0314,0.447,-25.15,0.106,0.12,90036,0.968,0.0424,21,Children's/Disney
26605,Some Things Never Change (From 'Frozen 2'),Little Piano Player,disney,0.0107,0.375,-32.055,0.105,0.529,150332,0.994,0.0477,20,Children's/Disney
26606,Part of Your World (From 'The Little Mermaid'),The Harp and the Piano,disney,0.0199,0.593,-27.349,0.094,0.166,119749,0.991,0.0499,20,Children's/Disney
26607,Love,Jon Sarta,disney,0.02,0.682,-26.997,0.109,0.296,173267,0.994,0.0392,20,Children's/Disney
26609,The End Title,Randy Newman,disney,0.113,0.0787,-19.777,0.116,0.0388,204000,0.92,0.0382,21,Children's/Disney
26610,Flik's Return - Score,Randy Newman,disney,0.0578,0.378,-23.608,0.108,0.216,84600,0.955,0.0433,21,Children's/Disney
26611,Summer Magic,Jon Sarta,disney,0.0233,0.64,-25.451,0.0949,0.327,128425,0.993,0.0448,21,Children's/Disney
26612,"Hakuna Matata - aus ""Der König der Löwen""/Deutscher Original Film-Soundtrack",Manuel Straube;Ilja Richter;Rainer Basedow;Cusch Jung,disney,0.504,0.439,-10.374,0.161,0.668,212680,0.667,0.219,31,Children's/Disney
26613,A Dream Is a Wish Your Heart Makes,Disney Peaceful Piano;Disney,disney,0.0159,0.484,-28.612,0.214,0.153,148953,0.995,0.0587,60,Children's/Disney
26614,Scarborough Fair,Drowsy Teddy,disney,0.0181,0.356,-20.545,0.116,0.286,89216,0.995,0.0454,20,Children's/Disney
26615,A Star Is Born - Japanese Version,Disney Studio Chorus,disney,0.586,0.729,-10.168,0.305,0.751,122280,0.683,0.104,21,Children's/Disney
26616,二人から少しずつ,SHIKI THEATRE COMPANY,disney,0.285,0.548,-7.996,0.0916,0.599,135133,0.804,0.077,20,Children's/Disney
26617,Rumbly in my Tumbly,Billboard Baby Lullabies,disney,0.321,0.763,-16.509,0.143,0.477,92434,0.996,0.0653,20,Children's/Disney
26618,"I Wonder - From ""Sleeping Beauty"" / Soundtrack Version",Mary Costa,disney,0.218,0.346,-11.487,0.106,0.24,89906,0.974,0.0346,21,Children's/Disney
26619,Peace,Cameron's Bedtime Classics,disney,0.0355,0.742,-17.618,0.111,0.41,214166,0.991,0.167,20,Children's/Disney
26620,Serenade,Cameron's Bedtime Classics,disney,0.0506,0.392,-19.5,0.101,0.101,222815,0.99,0.0445,21,Children's/Disney
26621,Who's Afraid of the Big Bad Wolf,The Circle Session Players,disney,0.415,0.722,-11.043,0.0762,0.799,151206,0.816,0.0335,20,Children's/Disney
26622,Tied Together with a Smile,Drowsy Teddy,disney,0.0248,0.323,-15.226,0.105,0.503,111578,0.996,0.04,21,Children's/Disney
26623,Colors of the Wind (From 'Pocahontas'),Piano Genie,disney,0.017,0.421,-30.3,0.113,0.314,92978,0.995,0.0632,21,Children's/Disney
26624,Rozpal sobie iskrę życia,Wojciech Brzezinski;Ewa Prus;Otar Saralidze;Julia Totoszko;Jakub Strach;Mateusz Panasiuk;Latarnicy,disney,0.575,0.549,-9.882,0.189,0.564,422746,0.552,0.17,20,Children's/Disney
26625,Clubhouse Birthday Party,Mickey Mouse;Goofy,disney,0.612,0.595,-5.913,0.257,0.942,144106,0.295,0.05,47,Children's/Disney
26626,Resting,Cameron's Bedtime Classics,disney,0.0832,0.738,-16.842,0.108,0.636,239013,0.993,0.0978,20,Children's/Disney
26627,Autumn Colors,Cameron's Bedtime Classics,disney,0.124,0.589,-18.509,0.119,0.122,242238,0.989,0.0518,20,Children's/Disney
26628,Starlight,Cameron's Bedtime Classics,disney,0.0606,0.782,-15.592,0.109,0.307,225258,0.992,0.0891,20,Children's/Disney
26629,Streit der Schwestern,Germaine Franco,disney,0.142,0.582,-16.699,0.114,0.179,77933,0.868,0.038,20,Children's/Disney
26630,Ray/Mama Odie,Randy Newman,disney,0.0742,0.304,-20.915,0.123,0.195,241146,0.949,0.0375,21,Children's/Disney
26631,"Son of Man (From Disney's ""Tarzan"")",Piano Genie,disney,0.0713,0.445,-26.357,0.111,0.196,118554,0.933,0.0363,20,Children's/Disney
26632,Three Caws - Original Mix,Cameron's Bedtime Classics,disney,0.0562,0.377,-16.777,0.141,0.445,65866,0.967,0.0341,21,Children's/Disney
26633,Rain Came Down,Billboard Baby Lullabies,disney,0.286,0.34,-20.692,0.136,0.329,89184,0.968,0.0547,21,Children's/Disney
26634,"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",David Healer,disney,0.289,0.641,-19.692,0.104,0.63,87931,0.985,0.0484,20,Children's/Disney
26635,In Summer (from 'Frozen'),Piano Radiance,disney,0.176,0.396,-17.66,0.136,0.496,44909,0.975,0.0315,21,Children's/Disney
26636,A Rather Blustery Day,Billboard Baby Lullabies,disney,0.467,0.402,-16.433,0.11,0.284,85526,0.957,0.0467,20,Children's/Disney
26637,Little Black Rain Cloud,Billboard Baby Lullabies,disney,0.239,0.45,-16.886,0.058,0.32,88910,0.99,0.0517,20,Children's/Disney
26638,Heffalumps and Woozles,Billboard Baby Lullabies,disney,0.257,0.225,-16.993,0.165,0.295,108777,0.992,0.0443,20,Children's/Disney
26639,A Wedding in Cherokee County - 2002 Remaster,Randy Newman,disney,0.225,0.446,-15.818,0.1,0.168,189200,0.901,0.042,21,Children's/Disney
26640,"Lezione di Musica/Canta Usignolo/Lucifero, Gatto Cattivo/Un Messaggio Di Sua Maestà",Cast - Cenerentola,disney,0.0906,0.277,-19.71,0.305,0.277,124333,0.966,0.0361,20,Children's/Disney
26641,The Wonderful Thing About Tigers,Billboard Baby Lullabies,disney,0.325,0.523,-16.034,0.0973,0.399,52388,0.994,0.0478,20,Children's/Disney
26642,"Drobnostka - z filmu ""Vaiana - Skarb Oceanu""",Igor Kwiatkowski,disney,0.703,0.787,-9.612,0.0351,0.564,163880,0.246,0.328,20,Children's/Disney
26643,"Winnie the Pooh - From ""Winnie the Pooh and the Honey Tree""",Disney Studio Chorus,disney,0.231,0.472,-11.708,0.351,0.442,138653,0.838,0.0396,21,Children's/Disney
26644,"Watch the Birdie/Visitors - From ""Lady and the Tramp""/Score",Oliver Wallace,disney,0.0685,0.481,-18.818,0.108,0.433,125666,0.987,0.0759,22,Children's/Disney
26645,Tunnetko tään rakkauden,Paula Vesala;Pasi Ruohonen;Antti Paakkonen;Joonathan Kettunen,disney,0.274,0.341,-9.228,0.0845,0.326,182613,0.79,0.0457,20,Children's/Disney
26646,Dyscyplina,Emilian Kaminski;Chor Chlopiecy Towarzystwa Spiewaczego,disney,0.685,0.838,-9.163,0.1,0.972,138720,0.148,0.106,20,Children's/Disney
26648,Het barsten begint,Germaine Franco,disney,0.483,0.198,-14.552,0.0979,0.234,82746,0.831,0.0506,20,Children's/Disney
26649,"Transformation - From ""Beauty and the Beast""/Soundtrack Version",Alan Menken;Disney,disney,0.2,0.207,-16.7,0.127,0.0689,347280,0.848,0.0388,22,Children's/Disney
26650,Recuérdame (Reencuentro),Luis Ángel Gómez Jaramillo;Rocío Garcel,disney,0.0413,0.585,-19.447,0.111,0.354,73650,0.973,0.0953,55,Children's/Disney
26651,Same Girl,Randy Newman,disney,0.0347,0.322,-18.39,0.116,0.0993,175133,0.978,0.0375,37,Children's/Disney
26652,"Part of Your World - From ""The Little Mermaid Live!""",Auli'i Cravalho,disney,0.224,0.409,-9.095,0.106,0.227,190830,0.927,0.0405,46,Children's/Disney
26653,Perfect Slumber Party,Cast - Sofia the First;Amber;Sofia,disney,0.896,0.618,-3.265,0.239,0.666,117706,0.435,0.0765,40,Children's/Disney
26654,"Lass jetzt los - aus ""Die Eiskönigin - Völlig Unverfroren""/Deutscher Film-Soundtrack",Willemijn Verkaik,disney,0.412,0.554,-7.956,0.138,0.336,224026,0.83,0.0321,59,Children's/Disney
26655,Frozen Heart,YSA,disney,0.0493,0.517,-17.642,0.0926,0.316,146226,0.991,0.16,20,Children's/Disney
26656,Hark the Herald,Andy Tallent,disney,0.00993,0.489,-30.952,0.11,0.287,267874,0.992,0.0944,21,Children's/Disney
26657,All Is Found - Instrumental,Kristen Anderson-Lopez;Robert Lopez,disney,0.18,0.185,-16.276,0.0891,0.0403,127343,0.837,0.0376,44,Children's/Disney
26658,Fly Me To The Moon Pt.2,Mellow Melodies,disney,0.00207,0.322,-35.061,0.0822,0.149,141940,0.996,0.0523,21,Children's/Disney
26660,"Someone's Waiting For You (from ""The Rescuers"")",The Sleep Diaries,disney,0.0435,0.312,-24.635,0.108,0.197,132334,0.953,0.044,20,Children's/Disney
26661,Fathoms Below,Poppie Swag,disney,0.057,0.443,-27.938,0.0892,0.452,130136,0.992,0.0575,20,Children's/Disney
26662,Voy A Ser el Rey León,Marc Pociello;Angela Aloy;Eduard Doncos,disney,0.73,0.661,-9.332,0.106,0.853,171280,0.175,0.0765,43,Children's/Disney
26663,"I See the Light (from ""Tangled"")",Jartisto,disney,0.0153,0.122,-23.673,0.127,0.386,287151,0.982,0.0436,20,Children's/Disney
26666,How Far I'll Go (From Disney's 'Moana'),Little Piano Player,disney,0.0371,0.348,-23.335,0.0936,0.0396,106953,0.968,0.0399,20,Children's/Disney
26667,Let It Go - Instrumental Karaoke,Kristen Anderson-Lopez;Robert Lopez,disney,0.389,0.605,-11.815,0.142,0.11,226200,0.662,0.0292,40,Children's/Disney
26668,So wird's immer sein - Instrumental,Kristen Anderson-Lopez;Robert Lopez,disney,0.462,0.585,-9.054,0.185,0.189,207588,0.227,0.0274,20,Children's/Disney
26669,モンスター,SHIKI THEATRE COMPANY,disney,0.432,0.385,-8.397,0.193,0.19,223853,0.574,0.0581,20,Children's/Disney
26670,Ajka Bajka,Ewa Konstancja Bułhak,disney,0.099,0.449,-14.272,0.115,0.465,133586,0.922,0.0349,20,Children's/Disney
26671,"Here I Am, Lord",Jon Sarta,disney,0.0785,0.507,-20.268,0.0842,0.432,320080,0.994,0.0509,20,Children's/Disney
26672,Fanfarra,Alan Menken;Disney,disney,0.28,0.599,-14.787,0.0634,0.564,30080,0.796,0.0843,22,Children's/Disney
26673,Once Upon a Dream,Disney Peaceful Piano;Disney,disney,0.0377,0.441,-27.04,0.121,0.117,197519,0.995,0.0767,59,Children's/Disney
26674,Son of Man (From 'Tarzan'),The Harp and the Piano,disney,0.161,0.685,-20.81,0.0953,0.118,145002,0.877,0.0508,20,Children's/Disney
26675,The Christmas Song (Chestnuts Roasting on an Open Fire),Kindy Corner,disney,0.0312,0.734,-14.944,0.126,0.306,70000,0.994,0.207,20,Children's/Disney
26676,One Little Spark,Jon Sarta,disney,0.124,0.65,-19.205,0.162,0.953,111349,0.985,0.0645,20,Children's/Disney
26677,Music in Your Soup,The Dwarf Chorus,disney,0.355,0.789,-17.323,0.102,0.831,155146,0.983,0.611,20,Children's/Disney
26678,Somewhere That's Green - 1982 Original Cast,Alan Menken;Howard Ashman;Ellen Green,disney,0.106,0.434,-20.119,0.327,0.261,235533,0.921,0.0463,21,Children's/Disney
26679,Savages (Part 2),Haruki Sayama;Ryoichi Fukuzawa;Yuko Doi;Music Creation,disney,0.325,0.221,-14.88,0.318,0.195,135000,0.912,0.0553,20,Children's/Disney
26680,Rudolph The Red-Nosed Reindeer,Donald Duck;Goofy,disney,0.594,0.555,-7.189,0.126,0.504,154466,0.624,0.242,21,Children's/Disney
26681,Hip Hip Pooh Rah,Billboard Baby Lullabies,disney,0.323,0.244,-18.836,0.143,0.359,88641,0.968,0.0464,20,Children's/Disney
26682,Rocking Chair Lullaby,Cameron's Bedtime Classics,disney,0.0406,0.713,-17.008,0.0825,0.272,169950,0.993,0.232,20,Children's/Disney
26683,Die letzte Vision,Germaine Franco,disney,0.251,0.191,-14.046,0.128,0.0375,130639,0.877,0.0369,20,Children's/Disney
26684,Jig,Alan Menken;Disney,disney,0.398,0.743,-8.808,0.578,0.692,92853,0.626,0.0334,21,Children's/Disney
26685,Trip a Little Light Fantastic - Japanese Version,Yuji Kishi;Ayaka Hirahara;Shinichiro Hara;Sera Uehara;Shuma Suzuki;Kenshiro Kato;Leeries,disney,0.579,0.539,-9.702,0.303,0.525,422746,0.686,0.14,20,Children's/Disney
26686,El Río,Germaine Franco,disney,0.0125,0.368,-31.201,0.112,0.067,87200,0.964,0.0386,20,Children's/Disney
26687,"It Could Even Happen to Flower - From ""Bambi""/Score",Frank Churchill;Larry Morey;Ed Plumb,disney,0.111,0.378,-20.042,0.0921,0.51,119506,0.847,0.0354,20,Children's/Disney
26688,En helt ny verden,Jannicke Kruse;Trond Teigen,disney,0.268,0.244,-12.75,0.0994,0.226,161533,0.75,0.0315,20,Children's/Disney
26689,Im Mondenschein,Debby van Dooren;Tommy Amper;Friedel Morgenstern,disney,0.471,0.285,-7.567,0.105,0.589,91466,0.918,0.0319,20,Children's/Disney
26690,The Carnival of the Animals: Kangaroos (feat. Nina Flyer & Chie Nagatani),David Ogden Stiers;Chie Nagatani;Nina Flyer,disney,0.0104,0.602,-27.128,0.208,0.214,82208,0.978,0.0864,20,Children's/Disney
26691,"Bambi Gets Twitterpated / Stag Fight - From ""Bambi""/Score",Frank Churchill;Ed Plumb;Larry Morey,disney,0.241,0.319,-16.786,0.267,0.362,152293,0.794,0.0343,20,Children's/Disney
26692,"You Oughta Be Ashamed - From ""Dumbo""/Score",Oliver Wallace;Frank Churchill,disney,0.197,0.181,-24.981,0.0866,0.2,70840,0.909,0.0481,21,Children's/Disney
26694,La Candela,Germaine Franco,disney,0.32,0.167,-13.239,0.123,0.0349,200093,0.651,0.0401,20,Children's/Disney
26695,Hakuna Matata,Antti Paakkonen;Joonathan Kettunen;Luca Vieri;Pasi Ruohonen,disney,0.615,0.511,-9.172,0.116,0.615,251520,0.439,0.262,20,Children's/Disney
26696,Jag behöver dig,Germaine Franco,disney,0.0563,0.172,-27.965,0.0706,0.0339,147520,0.953,0.0361,20,Children's/Disney
26697,Odkrycie Mirabel,Germaine Franco,disney,0.295,0.129,-14.716,0.0476,0.0433,176493,0.608,0.0493,20,Children's/Disney
26698,El Camino De Mirabel,Germaine Franco,disney,0.622,0.666,-10.632,0.131,0.593,129826,0.442,0.0323,20,Children's/Disney
26699,Mirabel's Cumbia,Germaine Franco,disney,0.525,0.661,-8.495,0.0617,0.934,169893,0.562,0.0313,19,Children's/Disney
26700,McQueen's Lost,Randy Newman,disney,0.273,0.27,-13.335,0.052,0.0603,148733,0.798,0.0361,44,Children's/Disney
26701,"Bundle of Joy (From ""Inside Out"")",Benny Martin,disney,0.0097,0.569,-30.445,0.0911,0.142,171050,0.972,0.162,48,Children's/Disney
26703,The Piston Cup,Randy Newman,disney,0.203,0.296,-12.019,0.178,0.165,112386,0.902,0.0418,41,Children's/Disney
26704,"Strange Things - From ""Toy Story""/Soundtrack Version",Randy Newman,disney,0.533,0.544,-11.079,0.29,0.685,198586,0.153,0.0307,52,Children's/Disney
26705,Hallelujah - Piano & Cello,Benny Martin;The Wong Janice,disney,0.198,0.309,-14.821,0.117,0.0957,292357,0.888,0.0326,44,Children's/Disney
26706,Over the Rainbow - Piano & Cello,Benny Martin;The Wong Janice,disney,0.186,0.164,-15.29,0.119,0.193,118421,0.955,0.0395,45,Children's/Disney
26707,Poor Unfortunate Souls,China Anne McClain;Disney,disney,0.672,0.593,-6.08,0.846,0.22,163882,0.0899,0.296,46,Children's/Disney
26708,Das große Schiff,Alan Menken,disney,0.202,0.418,-15.725,0.486,0.238,77108,0.494,0.0336,21,Children's/Disney
26709,Reindeer(s) Are Better Than People (From 'Frozen'),Little Piano Player,disney,0.00405,0.499,-34.451,0.122,0.58,55008,0.996,0.0618,20,Children's/Disney
26710,"You've Got a Friend in Me - From ""Toy Story"" / Duet",Randy Newman;Lyle Lovett,disney,0.358,0.66,-11.655,0.137,0.313,162213,0.673,0.0318,49,Children's/Disney
26711,All Is Found,Jon Sarta,disney,0.0675,0.423,-23.632,0.0974,0.21,128194,0.986,0.0412,20,Children's/Disney
